"VOTED2014","Young.Hispanic.Status","ID.Number","Voter.Status","Voted.11.2012","Voted.Gen..Elec..09.2010","Voted.Gen..Elec..07.2008","Number.General.Elections","Hispanic.Surname","Young.Voter","Eligible.2012","Eligible.2010","Eligible.2008","Young.in.2012","Young.in.2010","Young.in.2008","Voter.Category","type","ID","control","post","flyer","LOWPROP","city","zip","U_S__CONGRESS","byear"
"3360",0,"non_y_non_h",266787,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",266787,0,1,0,1,"DESOTO",75115,30,1924
"3366",0,"non_y_h",267117,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",267117,0,1,0,1,"DALLAS",75211,33,1922
"3376",0,"non_y_h",267732,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",267732,0,1,0,1,"DALLAS",75211,33,1920
"3400",0,"non_y_h",270353,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",270353,0,1,0,1,"DALLAS",75211,33,1911
"3401",0,"non_y_non_h",270449,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",270449,0,1,0,1,"DALLAS",75211,33,1937
"3403",0,"non_y_h",270570,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",270570,0,1,0,1,"DESOTO",75115,30,1911
"3487",0,"non_y_h",274735,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",274735,0,1,0,1,"DALLAS",75212,33,1957
"3488",0,"non_y_h",274736,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",274736,0,1,0,1,"DALLAS",75212,33,1924
"3534",0,"non_y_h",275203,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",275203,0,1,0,1,"DALLAS",75212,33,1911
"3537",0,"non_y_h",275241,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",275241,0,1,0,1,"DALLAS",75249,30,1957
"3538",0,"non_y_h",275245,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",275245,0,1,0,1,"DALLAS",75212,33,1928
"3544",0,"non_y_h",275294,"A",0,0,1,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",275294,0,1,0,1,"DALLAS",75212,33,1911
"3552",0,"non_y_h",275381,"A",1,0,0,1,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",275381,0,1,0,1,"GRAND PRAIRIE",75052,30,1956
"3555",0,"non_y_h",275414,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",275414,0,1,0,1,"DALLAS",75212,33,1911
"3630",0,"non_y_non_h",277146,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",277146,0,1,0,1,"DALLAS",75212,33,1911
"3682",0,"non_y_h",280327,"A",0,0,0,0,1,0,1,1,1,0,0,0,"Old Hispanic","Non_y_h_POST",280327,0,1,0,1,"DALLAS",75212,33,1911
"3717",0,"non_y_non_h",283039,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",283039,0,1,0,1,"DALLAS",75212,33,1911
"3744",0,"non_y_non_h",283886,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",283886,0,1,0,1,"DALLAS",75212,33,1911
"3777",0,"non_y_non_h",288070,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",288070,0,1,0,1,"DALLAS",75214,5,1911
"3864",0,"non_y_non_h",296340,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",296340,0,1,0,1,"DALLAS",75214,32,1949
"3921",0,"non_y_non_h",302288,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",302288,0,1,0,1,"DALLAS",75215,30,1911
"3967",0,"non_y_non_h",306660,"A",0,1,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",306660,0,1,0,1,"DALLAS",75215,30,1929
"3990",0,"non_y_non_h",308592,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",308592,0,1,0,1,"BALCH SPRINGS",75180,5,1937
"4006",0,"non_y_non_h",309313,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",309313,0,1,0,1,"DALLAS",75215,30,1920
"4017",0,"non_y_non_h",309677,"A",1,0,0,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",309677,0,1,0,1,"DALLAS",75215,30,1953
"4050",0,"non_y_non_h",311751,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",311751,0,1,0,1,"DALLAS",75215,30,1911
"4063",0,"non_y_non_h",313004,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",313004,0,1,0,1,"DALLAS",75217,30,1951
"4130",0,"non_y_non_h",317070,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",317070,0,1,0,1,"DALLAS",75216,30,1911
"4230",0,"non_y_non_h",320396,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",320396,0,1,0,1,"DALLAS",75216,30,1911
"4237",0,"non_y_non_h",320498,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",320498,0,1,0,1,"DALLAS",75216,30,1911
"4282",0,"non_y_non_h",321493,"A",0,0,0,0,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",321493,0,1,0,1,"DALLAS",75216,30,1911
"4318",0,"non_y_non_h",322470,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",322470,0,1,0,1,"DALLAS",75216,30,1911
"4358",0,"non_y_non_h",323722,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",323722,0,1,0,1,"DALLAS",75232,30,1932
"4390",1,"non_y_non_h",324249,"A",0,0,1,1,0,0,1,1,1,0,0,0,"Old Not Hispanic","Non_y_non_h_POST",324249,0,1,0,1,"DALLAS",75241,30,1975
